twist_angle(°)   AA_num   AA_area(A^2)           AB_num   AB_area(A^2)
                 6.96       1088       10149.314203449716       2048       19104.5914417877       
                 7.08       1027       9580.280962263656       2104       19626.98261402408       
                 7.2       1011       9431.026341624689       1962       18302.347855853255       
                 7.32       903       8423.557652311667       2032       18955.336821148732       
                 7.44       953       8889.978341808437       1891       17640.030476767843       
                 7.56       939       8759.380548749341       1874       17481.44744233894       
                 7.68       954       8899.306755598373       1764       16455.321925446045       
                 7.8       918       8563.483859160697       1805       16837.7868908334       
                 7.92       985       9188.48758308637       1632       15223.971305174573       
                 8.04       865       8069.077928294121       1717       16016.886477319082       
                 8.16       828       7723.926618066511       1623       15140.015581065154       
                 8.28       814       7593.328825007416       1636       15261.284960334315       
                 8.4       764       7126.9081355106455       1571       14654.938063988513       
                 8.52       743       6931.011445922002       1567       14617.624408828771       
                 8.64       733       6837.727308022649       1552       14477.698201979741       
                 8.76       742       6921.683032132067       1461       13628.81254709562       
                 8.88       701       6539.2180667447155       1448       13507.54316782646       
                 9.0       748       6977.653514871679       1330       12406.790340614081       
                 9.12       696       6492.575997795038       1402       13078.436133489431       
                 9.24       661       6166.0815151473       1327       12378.805099244275       
                 9.36       658       6138.0962737774935       1315       12266.864133765052       
                 9.48       613       5718.3176532304005       1218       11362.007996141318       
                 9.6       629       5867.572273869367       1242       11585.889927099766       
                 9.72       586       5466.450480902145       1196       11156.782892762738       
                 9.84       581       5419.808411952467       1185       11054.17034107345       
                 9.96       553       5158.612825834276       1124       10485.13709988739       
                 10.08       557       5195.926480994018       1109       10345.210893038358       
                 10.2       521       4860.103584556344       1101       10270.583582718875       
                 10.32       515       4804.133101816731       1032       9626.923031213333       
                 10.44       493       4598.907998438152       1009       9412.369514044818       
                 10.56       473       4412.3397226394445       994       9272.443307195788       
                 10.68       448       4179.129377891059       993       9263.114893405853       
                 10.8       456       4253.756688210542       916       8544.827031580826       
                 10.92       438       4085.845239991705       907       8460.871307471409       
                 11.04       403       3759.350757343966       861       8031.764273134379       
                 11.16       415       3871.291722823191       839       7826.539169755801       
                 11.28       409       3815.3212400835787       778       7257.505928569742       
                 11.4       397       3703.380274604354       792       7388.103721628837       
                 11.52       368       3432.856274696227       747       6968.325101081744       
                 11.64       289       2695.9115852913305       1090       10167.971031029587       
                 11.76       352       3283.601654057261       654       6100.782618617752       
                 11.88       327       3050.391309308876       677       6315.336135786266       
                 12.0       313       2919.79351624978       682       6361.978204735943       
                 12.12       314       2929.1219300397156       636       5932.871170398915       
                 12.24       296       2761.2104818208786       628       5858.243860079431       
                 12.36       181       1688.4428959783074       506       4720.177377707312       
                 12.48       274       2555.9853784422994       582       5429.136825742403       
                 12.6       255       2378.745516433527       542       5056.000274144987       
                 12.72       273       2546.6569646523644       502       4682.86372254757       
                 12.84       206       1921.6532407266925       516       4813.461515606667       
                 12.96       260       2425.387585383204       472       4403.011308849509       
                 13.08       244       2276.1329647442376       396       3694.0518608144184       
                 13.2       787       7341.46165267916       0       0.0       
                 13.32       163       1520.5314477594702       420       3917.933791772868       
                 13.44       183       1707.0997235581783       404       3768.6791711339015       
                 13.56       195       1819.040689037403       358       3339.572136796873       
                 13.68       154       1436.5757236500517       374       3488.8267574358397       
                 13.8       177       1651.129240818566       328       3059.7197230988113       
                 13.92       152       1417.9188960701808       308       2873.1514473001034       
                 14.04       141       1315.3063443808915       308       2873.1514473001034       
                 14.16       138       1287.3211030110851       278       2593.299033602041       
                 14.28       127       1184.7085513217958       272       2537.328550862429       
                 14.4       115       1072.767585842571       250       2332.1034474838502       
                 14.52       108       1007.4686893130232       250       2332.1034474838502       
                 14.64       105       979.483447943217       216       2014.9373786260464       
                 14.76       105       979.483447943217       210       1958.966895886434       
                 14.88       86       802.2435859344444       184       1716.4281373481135       
                 15.0       78       727.6162756149612       200       1865.68275798708       
                 15.12       51       475.7491032867054       168       1567.1735167091472       
                 15.24       50       466.42068949677       154       1436.5757236500517       
                 15.36       72       671.6457928753488       150       1399.26206849031       
                 15.48       61       569.0332411860594       126       1175.3801375318603       
                 15.6       57       531.7195860263178       118       1100.7528272123773       
                 15.72       57       531.7195860263178       102       951.4982065734108       
                 15.84       38       354.4797240175452       100       932.84137899354       
                 15.96       45       419.778620547093       86       802.2435859344444       
                 16.08       41       382.4649653873514       78       727.6162756149612       
                 16.2       40       373.136551597416       66       615.6753101357364       
                 16.32       23       214.5535171685142       68       634.3321377156072       
                 16.44       147       1371.2768271205039       0       0.0       
                 16.56       25       233.210344748385       46       429.1070343370284       
                 16.68       14       130.5977930590956       42       391.7933791772868       
                 16.8       12       111.9409654792248       42       391.7933791772868       
                 16.92       13       121.2693792691602       28       261.1955861181912       
                 17.04       10       93.284137899354       26       242.5387585383204       
                 17.16       12       111.9409654792248       20       186.568275798708       
                 17.28       75       699.631034245155       0       0.0       
                 17.4       6       55.9704827396124       10       93.284137899354       
                 17.52       3       27.9852413698062       8       74.6273103194832       
                 17.64       2       18.6568275798708       6       55.9704827396124       
                 17.76       3       27.9852413698062       0       0.0       
                 17.88       4       37.3136551597416       0       0.0       
                 18.0       2       18.6568275798708       0       0.0       
                 18.12       2       18.6568275798708       0       0.0       
                 18.24       0       0.0       0       0.0       
                 18.36       0       0.0       0       0.0       
                 18.48       0       0.0       0       0.0       
                 18.6       0       0.0       0       0.0       
                 18.72       0       0.0       0       0.0       
                 18.84       0       0.0       0       0.0       
                 18.96       0       0.0       0       0.0       
                 19.08       0       0.0       0       0.0       
                 19.2       0       0.0       0       0.0       
                 19.32       0       0.0       0       0.0       
                 19.44       0       0.0       0       0.0       
                 19.56       0       0.0       0       0.0       
                 19.68       0       0.0       0       0.0       
                 19.8       0       0.0       0       0.0       
                 19.92       0       0.0       0       0.0       
                 20.04       0       0.0       0       0.0       
                 20.16       0       0.0       0       0.0       
                 20.28       0       0.0       0       0.0       
                 20.4       0       0.0       0       0.0       
                 20.52       0       0.0       0       0.0       
                 20.64       0       0.0       0       0.0       
                 20.76       0       0.0       0       0.0       
                 20.88       0       0.0       0       0.0       
                 21.0       0       0.0       0       0.0       
                 21.12       0       0.0       0       0.0       
                 21.24       0       0.0       0       0.0       
                 21.36       0       0.0       0       0.0       
                 21.48       0       0.0       0       0.0       
                 21.6       0       0.0       0       0.0       
                 21.72       0       0.0       0       0.0       
                 21.84       0       0.0       0       0.0       
                 21.96       0       0.0       0       0.0       
                 22.08       0       0.0       0       0.0       
                 22.2       0       0.0       0       0.0       
                 22.32       0       0.0       0       0.0       
                 22.44       0       0.0       0       0.0       
                 22.56       0       0.0       0       0.0       
                 22.68       0       0.0       0       0.0       
                 22.8       0       0.0       0       0.0       
                 22.92       0       0.0       0       0.0       
                 23.04       0       0.0       0       0.0       
                 23.16       0       0.0       0       0.0       
                 23.28       0       0.0       0       0.0       
                 23.4       0       0.0       0       0.0       
                 23.52       0       0.0       0       0.0       
                 23.64       0       0.0       0       0.0       
                 23.76       0       0.0       0       0.0       
                 23.88       0       0.0       0       0.0       
                 24.0       0       0.0       0       0.0       
                 24.12       0       0.0       0       0.0       
                 24.24       0       0.0       0       0.0       
                 24.36       0       0.0       0       0.0       
                 24.48       0       0.0       0       0.0       
                 24.6       0       0.0       0       0.0       
                 24.72       0       0.0       0       0.0       
                 24.84       0       0.0       0       0.0       
                 24.96       0       0.0       0       0.0       
                 25.08       0       0.0       0       0.0       
                 25.2       0       0.0       0       0.0       
                 25.32       0       0.0       0       0.0       
                 25.44       0       0.0       0       0.0       
                 25.56       0       0.0       0       0.0       
                 25.68       0       0.0       0       0.0       
                 25.8       0       0.0       0       0.0       
                 25.92       0       0.0       0       0.0       
                 26.04       0       0.0       0       0.0       
                 26.16       0       0.0       0       0.0       
                 26.28       0       0.0       0       0.0       
                 26.4       0       0.0       0       0.0       
                 26.52       0       0.0       0       0.0       
                 26.64       0       0.0       0       0.0       
                 26.76       0       0.0       0       0.0       
                 26.88       0       0.0       0       0.0       
                 27.0       0       0.0       0       0.0       
                 27.12       0       0.0       0       0.0       
                 27.24       0       0.0       0       0.0       
                 27.36       0       0.0       0       0.0       
                 27.48       0       0.0       0       0.0       
                 27.6       0       0.0       0       0.0       
                 27.72       0       0.0       0       0.0       
                 27.84       0       0.0       0       0.0       
                 27.96       0       0.0       0       0.0       
                 28.08       0       0.0       0       0.0       
                 28.2       0       0.0       0       0.0       
                 28.32       0       0.0       0       0.0       
                 28.44       0       0.0       0       0.0       
                 28.56       0       0.0       0       0.0       
                 28.68       0       0.0       0       0.0       
                 28.8       0       0.0       0       0.0       
                 28.92       0       0.0       0       0.0       
                 29.04       0       0.0       0       0.0       
                 29.16       0       0.0       0       0.0       
                 29.28       0       0.0       0       0.0       
                 29.4       0       0.0       0       0.0       
                 29.52       0       0.0       0       0.0       
                 29.64       0       0.0       0       0.0       
                 29.76       0       0.0       0       0.0       
                 29.88       0       0.0       0       0.0       
                 30.0       0       0.0       0       0.0       
