theta	m1	n1	m2	n2	point_distance
19.59902217	232	42	151	132	5.24723E-05
19.91474853	178	132	244	27	7.89156E-05
20.14498197	231	42	148	134	0.000062134
20.5063628	290	37	190	153	6.49512E-05
20.87732817	231	19	154	112	8.53063E-05
21.18296562	292	22	194	141	3.93908E-05
22.69229782	194	189	294	44	1.66819E-05
23.0414728	162	161	248	37	1.12058E-05
23.16972217	185	141	265	13	9.91212E-05
23.17655654	277	32	170	156	4.93686E-05
23.24937306	144	95	200	0	7.28514E-05
23.28648173	156	156	240	35	8.58266E-05
23.33496148	195	149	280	13	5.11236E-05
23.51258077	72	65	108	11	1.03344E-05
23.65410859	267	3	174	122	7.02234E-05
23.96027986	189	155	278	16	9.9563E-06
26.72235153	199	8	117	108	4.18282E-05
27.07850458	176	169	280	13	5.11236E-05
27.44097269	266	11	153	148	8.95411E-05
27.45806658	183	177	293	12	0.000049166
