twist_angle(°)   AA/period_area           AB/period_area
                 1.116755118       0.08778260828384887       0.19070932517349362       
                 1.173006012       0.08762725916081719       0.19034515958685036       
                 1.499138663       0.08537821049345319       0.18525432997599553       
                 1.505046234       0.08592801918876518       0.1865656701080767       
                 1.580945678       0.08350524169709572       0.1866836453500218       
                 1.641806726       0.08496459808419189       0.18417876318739382       
                 1.707199402       0.08451839742015832       0.18309172317440173       
                 1.725792083       0.08443263741659551       0.1829844371669636       
                 1.775965814       0.08426857001021458       0.1829990878144805       
                 1.782630826       0.0839838239436407       0.1819829485786336       
                 1.828781867       0.08377786303916365       0.18188902595887224       
                 1.872040165       0.08331496887113352       0.1807997051173938       
                 1.898670679       0.08290262559395291       0.1799082405990795       
                 2.062305274       0.08226361308773682       0.1785277665116814       
                 2.147029076       0.08068228989760612       0.1756967556990005       
                 2.151114147       0.08171054012464227       0.17741717478521582       
                 2.169053528       0.08099975602427567       0.17569996537202426       
                 2.17011959       0.07934006749810206       0.17823071939630528       
